finding_id	status	severity	category	unit	scope	summary	evidence	resolution	fix_commit	verification
PT-CAL-002	fixed	high	date-correctness	06-shared-domain-libs	lib/market-calendar/src/index.ts	Bare market-date keys could resolve to the previous New York day and impossible dates were accepted	Date construction treated YYYY-MM-DD as UTC midnight and normalized invalid calendar components	Parse bare market-date keys directly validate round-tripped components and reject unsupported years	240ebd51	Regression coverage for bare impossible and out-of-range dates passed
PT-CAL-003	fixed	medium	state-integrity	06-shared-domain-libs	lib/market-calendar/src/index.ts	Callers could mutate cached holiday records early-close records and shared session descriptors	Public APIs exposed mutable objects backed by process-wide caches	Return cloned calendar records and freeze shared market-session descriptors	240ebd51	Mutation-poisoning regression tests passed within the 17-test package suite
PT-TRADE-001	fixed	high	trading-correctness	32-pyrus-trade	artifacts/pyrus/src/features/trade/automationDeviationModel.js	Unknown option-right values were coerced to call and could hide a planned-versus-actual contract deviation	Both planned and actual values used a put-or-call fallback that guessed call for every unrecognized value	Reuse the canonical option-right normalizer and retain unknown as null so mismatches remain visible	4110b4ef	Current-byte reseal passed focused RED/GREEN repair matrix 33/33, complete Trade suite 115/115, exact-path diff check, and production Vite build with 3590 modules
PT-ZOD-001	fixed	high	correctness-performance	04-api-zod-generated	lib/api-spec/fix-api-zod-index.mjs; lib/api-zod/src/generated/api.ts	Generated boolean query schemas parsed the literal string false and arbitrary non-empty strings as true	Orval emitted z.coerce.boolean for 16 query fields; refresh=false bypassed high-beta cache reuse and strictTrade=false selected the slower broker-authoritative search path	Postprocess generated boolean queries through a strict true/false preprocessor and reject other strings	caabb34a	API Zod tests 2/2; clean temporary Orval generation matched checked-in api.ts; api-zod build passed
PT-OPT-001	fixed	high	performance-reliability	06-shared-domain-libs	lib/backtest-core/src/optimizer.ts	Walk-forward sweeps materialized the complete Cartesian parameter grid before deciding to use bounded random sampling	buildCandidatesForMode called buildGridCandidates first and checked the resulting length afterward; dimension products could exhaust memory before the 100-candidate fallback	Count dimension cardinality first and enter the existing bounded sampler as soon as it exceeds 100	290ceaf2	Backtest-core tests 34/34; backtest-core TypeScript build passed; regression proves oversized grids are not materialized
PT-POLL-001	fixed	high	performance-polling	31-pyrus-backtesting	artifacts/pyrus/src/features/backtesting/BacktestingPanels.tsx	Selected terminal backtest runs kept polling full detail and chart payloads every five seconds	Both queries used a visibility-only refetch interval even after completed failed or canceled status; a visible terminal run issued up to 24 detail and 24 chart requests every two minutes	Retain five-second polling for mutable statuses and stop both heavy queries after terminal status	48b5ed95	Focused polling test passed 1/1; full Pyrus TypeScript check passed
PT-PREVIEW-001	fixed	medium	performance-query	22-api-core-lib-ws	artifacts/api-server/src/services/backtesting.ts	Backtest study previews loaded the same ordered point series twice when latest and best selected the same run	getBacktestStudyPreviewChart independently called loadRunPoints for latest and best on every five-second preview poll even when both IDs matched	Share the in-flight point-series promise for identical run IDs while keeping distinct reads parallel	477e7fdf	Backtesting service tests passed 4/4; full API TypeScript check passed; regression records one loader call
PT-FLOW-001	fixed	high	performance-request	14-api-services-c-f	artifacts/api-server/src/services/flow-events-model.ts	Flow request filtering parsed expiration and evaluated every snapshot row before slicing to the requested limit	The default all-events path constructed dates and computed unusualness for up to 1000 rows even when only 50 results were requested; filter().slice() could not stop early	Short-circuit unused filters reuse one clock value and stop iterating as soon as the normalized result limit is reached	4236d1e8	Focused and historical-flow tests passed 7/7; API typecheck passed; 1000-row/50-result microbenchmark improved from 1013.4 ms to 3.2 ms over 2000 iterations
PT-FLOW-002	fixed	medium	performance-query	14-api-services-c-f	artifacts/api-server/src/services/flow-universe-optionability-verifier.ts	Optionability fallback query size scaled with the raw priority-symbol list instead of the five-row verifier batch	A live-shaped 500-symbol priority list produced query limits of 5 then 505 even when the priority query accepted no rows	Retain the existing four-times duplicate-listing cushion without adding the raw priority-list cardinality	510e71ef	Regression changed captured query limits from [5,505] to [5,20]; API typecheck passed
PT-OPTVER-001	awaiting_semantic	medium	performance-configuration	14-api-services-c-f	artifacts/api-server/src/services/flow-universe-optionability-verifier.ts	Verifier interval and batch environment values accept any positive integer and can silently amplify provider and database demand	Defaults are 60000 ms and 5 rows but positiveInteger imposes no minimum interval or maximum batch and the environment reader is also unbounded	Choose defensible minimum interval and maximum batch ceilings before adding configuration clamps		Full 806-line baseline file reviewed; runtime defaults and construction path traced through platform.ts
PT-MARKET-LOAD-001	fixed	high	performance-startup	38-pyrus-screen-research-market-backtest	artifacts/pyrus/src/features/platform/screenModulePreloader.js; artifacts/pyrus/src/screens/MarketScreen.jsx	Startup still preloaded the obsolete 1332-line Market screen even though the visible market route rendered MarketDemoScreen	The market loader resolved MarketScreen while the route wrapper and active UI used MarketDemoScreen; Vite warmup also imported the obsolete module	Point the loader wrapper and warmup at MarketDemoScreen and delete the unreachable MarketScreen implementation	27ac47be	Market preload and boot tests passed 14/14; Pyrus typecheck and production Vite build passed with one MarketDemoScreen chunk and no MarketScreen chunk
PT-MARKET-CLOCK-001	fixed	medium	performance-hidden-work	38-pyrus-screen-research-market-backtest	artifacts/pyrus/src/screens/MarketDemoScreen.jsx	The retained Market screen kept a one-second clock interval alive while another route was visible	RegimeTopBar received live=true outside safe QA regardless of isVisible so hidden retained instances continued updating state every second	Gate the clock on screen visibility and refresh it immediately when the screen resumes	b078e77f	Hidden-work source contract passed; full Pyrus TypeScript check passed
PT-ALGO-SIDEBAR-001	fixed	high	correctness-lifecycle	38-pyrus-screen-research-market-backtest	artifacts/pyrus/src/features/platform/PlatformShell.jsx	The expanded desktop Algo monitor lost its data source whenever the Algo page was not active	explicitAlgoActivitySurfaceOpen omitted desktopActivitySidebarVisible so the visible sidebar received dataEnabled=false and disabled its deployment query off-route	Include desktop sidebar visibility in the shared activity-surface gate while retaining trade priority collapse mutation and stream gates	066e3f63	Relevant Algo sidebar and stream tests passed 38/38; Pyrus typecheck passed; normal-app QA confirmed populated sidebar on Algo and after switching to Market
PT-ALGO-DIAG-001	fixed	medium	performance-render	38-pyrus-screen-research-market-backtest	artifacts/pyrus/src/screens/algoCockpitDiagnosticsModel.js	Complete backend diagnostics still triggered discarded fallback scans over raw signals and event history on every cockpit summary build	fallbackFresh fallbackEntryEvents and deriveReasonCounters ran before checking whether authoritative diagnostic counters were present	Evaluate raw fallback scans only when their corresponding diagnostic counters are absent	1b7e9c23	Regression with unreadable fallback arrays passed 2/2 focused tests; full Pyrus TypeScript check passed
PT-PERSIST-001	fixed	high	performance-data-isolation	39-pyrus-shell-components-lib	artifacts/pyrus/src/app/AppProviders.tsx; artifacts/pyrus/src/app/queryPersistence.ts	Optional query persistence walked the whole live query cache on every cache update and stored authenticated structural data without an identity scope	TanStack calls dehydrate before the storage throttle for every added removed or updated event; a 501-query harness made 50601 predicate calls for 100 updates; the allowlist included accounts watchlists deployments sessions and preferences while auth changes only invalidated cache entries	Remove the persistence provider implementation and two dependencies and delete the retired unscoped cache key on boot	1c32aa52	Focused tests passed 2/2; Pyrus typecheck and production build passed; frozen lockfile passed; runtime reload removed the planted legacy key
PT-CRASH-001	fixed	high	security-sensitive-data	39-pyrus-shell-components-lib	artifacts/pyrus/src/app/crashDiagnostics.tsx	Raw crash strings could retain authorization headers cookies JSON token fields bearer credentials and JWTs in session storage and the copyable crash bundle	Object-key redaction was present but redactString only handled URL credentials selected query parameters and account IDs	Redact common header assignment JSON bearer basic and JWT credential forms before truncating diagnostic strings	8b22d4e2	Credential redaction regression passed 1/1; full Pyrus TypeScript check passed
PT-QA-001	fixed	low	dead-code-reduction	39-pyrus-shell-components-lib	artifacts/pyrus/src/app/qa-mode.ts	QA mode retained a guarded session-storage reader with no caller	Repository caller scan found only the declaration while the module's sole storage action removes the retired QA key	Delete the unused helper without changing safe-QA mode installation or request instrumentation	ee5f27c1	Full Pyrus TypeScript check passed; caller scan remained empty
PT-NEURAL-001	fixed	low	dead-code-bundle	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/neural/NeuralCanvas.tsx; artifacts/pyrus/src/components/neural/neural-core/useMorphMachine.ts	The neural opener still shipped a retired tight-loader mode an unused React hook and write-only opacity state	NeuralBootOverlay is the only NeuralCanvas caller and always selected opener; NeuralLoader now uses BootShellLayout; caller scans found no tight constants hook or opacity readers	Collapse NeuralCanvas and MorphMachine to the live opener contract and remove the unreachable mode state and test branch	c629406a	Remaining opener tests passed 5/5; Pyrus typecheck and production build passed; removed-symbol scan was empty
PT-NEURAL-002	fixed	high	performance-startup	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/marketing/neural-core/NeuralCore.tsx	Non-morphing ambient clouds synchronously generated and sorted unused logo targets during every scene setup	The normal 22000 plus 9000 particle loader had morph disabled but still spent about 46 ms in ringTargets and also allocated target colors and cloned 31000 Three.js colors	Generate morph targets and colors only when morph or morphDriveRef can move the shader away from zero	9a9cef07	Focused regression passed 2/2; Pyrus typecheck and production build passed
PT-NEURAL-003	fixed	medium	dead-code-dev-load	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/marketing/neural-core/helpers.ts; artifacts/pyrus/src/components/marketing/neural-core/pyrus-wordmark-points.ts	An unused private sampler kept a generated wordmark point-cloud module in the neural helper import graph	Caller scan found only the private declaration while the static import pulled a 35786-byte generated array into the development module graph	Delete the sampler generated payload stale compatibility assertion and obsolete Tailwind source exclusion	d70754e4	Brand compatibility tests passed 4/4; Pyrus typecheck and production build passed
PT-NEURAL-004	fixed	low	dead-code-bundle	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/marketing/neural-core/NeuralCore.tsx; artifacts/pyrus/src/components/marketing/neural-core/types.ts	The renderer shipped a CPU displacement implementation and public mode switch with no caller	Repository-wide construction scan found no CPU mode; the branch still required WebGLRenderer so it was not a no-WebGL fallback	Remove the unreachable mode contract PointsMaterial setup value-noise function and per-frame CPU loop	d042a9ee	Neural and brand checks passed 6/6; Pyrus typecheck and production build passed
PT-NEURAL-005	fixed	high	performance-first-paint	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/marketing/brand-resolve.tsx	BrandResolve synchronously created and queried a WebGL context during the initial React render despite its deferred-probe comment	A mirrored software-browser probe took 73.2 ms and the capability expression ran before the component mounted	Short-circuit the capability probe until the post-mount render so first paint can use the static mark	98612c65	Brand compatibility tests passed 4/4; Pyrus typecheck and production build passed
PT-NEURAL-006	fixed	medium	dead-code-lifecycle	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/marketing/brand-resolve.tsx	BrandResolve retained unused source-demo modes and could leave its animation loop running after a lazy scene or WebGL runtime failure	Both live callers fixed the same loop morph SVG and available-WebGL contract; no caller selected the alternate mark mask crisp or external-drive modes; the error boundary did not report failure to the parent	Collapse the component to its live contract stop animation on import or render failure and avoid duplicate opacity writes during hold phases	297d270b	Relevant brand neural loading and auth visual-policy tests passed 15/15; Pyrus typecheck and production build passed; software-renderer fallback remained visible
PT-NEURAL-007	fixed	medium	correctness-lifecycle	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/neural/BootShellLayout.tsx; artifacts/pyrus/src/features/auth/LoginGate.visualPolicy.test.mjs	The signed-out brand column could remain on its opener-safe static mark after the neural opener released WebGL ownership	Commit 1a7a11d0 moved the conditional out of reactive LoginShell but retained only a one-time state snapshot in BootBrandColumn; the store published changes but no rerender consumed them	Subscribe the shared BootBrandColumn to neuralOpenerState with useSyncExternalStore and lock the lifecycle contract with a focused regression	ba8fa03c	Regression failed before and passed after the fix; focused brand neural loading and auth checks passed 16/16; Pyrus typecheck and production build passed; normal-app post-fix QA pending because the API exited on SIGABRT and the sanctioned supervisor stopped
PT-NEURAL-008	fixed	medium	dead-code-bundle	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/marketing/pyrus-mark-3d.tsx; artifacts/pyrus/src/components/marketing/pyrus-mark-3d-scene.tsx; artifacts/pyrus/src/lib/pyrus-mark-geometry.ts	The unused 3D Pyrus mark path retained a WebGL renderer and its supporting runtime in the application graph	No render caller constructed the 3D mark or scene; only the colocated reduced-motion hook had live source consumers	Extract the live reduced-motion hook and delete the unreferenced 3D renderer scene and geometry contracts	308dcfcb	Caller scans found no remaining 3D mark consumers; focused brand checks passed 16/16; Pyrus typecheck and production build passed
PT-NEURAL-009	fixed	low	dead-code-reduction	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/brand/PyrusLogo.tsx; artifacts/pyrus/src/components/marketing/pyrus-logo.standalone.tsx	Two Pyrus logo compatibility wrappers remained after all source callers moved to the canonical mark	Repository caller scans found no live source imports for either wrapper	Delete the unused wrappers and retain the canonical PyrusMark implementation	f23e6b06	Caller scans remained empty; focused brand checks passed 16/16; Pyrus typecheck and production build passed
PT-BRAND-001	fixed	high	performance-design	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/platform/AppHeader.jsx; artifacts/pyrus/src/components/neural/BootShellLayout.tsx; artifacts/pyrus/src/components/marketing/pyrus-mark.tsx; artifacts/pyrus/src/components/marketing/pyrus-mark-shared.tsx; artifacts/pyrus/src/styles/brand.css	Persistent header and idle sign-in branding spent continuous WebGL or SVG animation work after loading completed	The header mounted BrandResolve continuously, the idle signed-out column could select it, and the canonical SVG mark retained infinite ring animations	Use the static canonical mark for persistent and idle branding, reserve BrandResolve for active loading, and remove the infinite ring loops	c3c5eaab	Focused checks passed 16/16; Pyrus typecheck and production build passed; normal-app desktop and mobile QA showed one stable SVG, no canvas, no overflow, and no console errors
PT-BRAND-002	fixed	medium	performance-hidden-work	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/neural/BootShellLayout.tsx; artifacts/pyrus/src/index.css	The visually hidden idle sign-in loading bar continued running its slide animation	Runtime animation inspection found pyrus-loading-slide running after the sign-in form settled even though the non-status loading region was hidden	Pause the loading-bar animation whenever the loading container no longer exposes role=status	15591c92	Regression failed before and passed after the rule; focused checks passed 16/16; Pyrus typecheck and production build passed; desktop and mobile QA reported no running idle animations
PT-OVERLAY-001	fixed	high	accessibility-lifecycle	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/platform/BottomSheet.jsx; artifacts/pyrus/src/components/platform/Drawer.jsx; artifacts/pyrus/src/components/ui/ConfirmDialog.jsx	The shared modal shells implemented incompatible focus dismissal and scroll behavior by hand	BottomSheet and Drawer had no focus trap and reran their focus effect whenever inline onClose callbacks changed; ConfirmDialog did not coordinate nested Escape or body locking with the sheet layers	Delegate modal behavior to the installed Radix Dialog primitive and bridge focus return for callers that do not own a Radix trigger	dca88317	Regression passed 2/2; Pyrus typecheck and production build passed; mobile and desktop browser QA verified stable focus Tab wrapping nested Escape pending dismissal focus return and reference-counted scroll locks
PT-OVERLAY-002	fixed	high	accessibility-hidden-focus	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/platform/DockedSheet.jsx	Collapsed docked-sheet controls remained reachable by keyboard while hidden from the accessibility tree	aria-hidden opacity and pointer-events do not remove eagerly mounted descendant controls from sequential or programmatic focus	Apply the native inert attribute to the collapsed body while retaining eager mounting and the existing reveal transition	dca88317	Regression passed 2/2; Pyrus typecheck and production build passed; both browser viewports rejected focus while collapsed and accepted it after expansion
PT-LOADING-001	fixed	medium	correctness-privacy	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/platform/ContainerLoadingStatus.jsx	Malformed percent escapes in a route segment crashed the shared loading status and risked exposing raw account-like path text if recovered unsafely	The unguarded decodeURIComponent call raised URIError for DU12345% before identifier masking could run	Catch decoding failures at the segment boundary and fail closed to :id while preserving valid account UUID and numeric masking	99e3ccc1	Malformed-route regression and valid masking matrix passed 1/1; Pyrus typecheck and production build passed; diff check passed
PT-DATA-001	fixed	high	correctness-state	28-pyrus-platform-models-a-m; 29-pyrus-platform-models-n-z	artifacts/pyrus/src/features/platform/dataIssueModel.js; artifacts/pyrus/src/features/platform/resilienceIssues.test.mjs	A loading record suppressed simultaneous explicit failure stale delayed fallback unavailable and degraded states	The pending-only early return ran before all problem-state collectors; a loading record with sourceStatus error incorrectly returned no issues	Remove the redundant loading early return so a loading-only record naturally stays quiet while independently reported problem states remain visible	b8bdd1c0	Regression was RED before and passed after; relevant resilience and Account marker tests passed 13/13; Pyrus typecheck and production build passed; independent review approved
PT-DENSE-001	fixed	high	correctness-layout	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/platform/DenseVirtualTable.jsx; artifacts/pyrus/src/components/platform/DenseVirtualTable.test.mjs	Moving an expanded table detail between rows without changing item count retained stale virtualizer measurements	The stable estimate callback prevented remeasurement when detail position or height changed at the same count; the old row stayed oversized and the new detail could be clipped	Derive a stable key from normalized detail row positions and sizes and remeasure only when that semantic layout key changes	92e1eadf	Behavior regression was RED before and passed after; unchanged-key control retained the cache; Pyrus typecheck and production build passed; two independent reviews approved
PT-CRASH-002	fixed	high	privacy-diagnostics	39-pyrus-shell-components-lib	artifacts/pyrus/src/app/AppContent.tsx; artifacts/pyrus/src/app/crashDiagnostics.tsx; artifacts/pyrus/src/app/crashDiagnostics.test.mjs; artifacts/pyrus/src/components/platform/PlatformErrorBoundary.tsx	Client diagnostic uploads could persist credentials account identifiers raw render messages and component stacks without redaction	AppContent and PlatformErrorBoundary serialized events directly; API ingestion only compacted values; the existing string redactor also missed DU account IDs	Reuse one recursive redacting upload helper for all client-event producers and recognize U and DU account IDs case-insensitively	068bc213	Account and upload regressions were RED before and passed 2/2 after; related checks passed 10/10; Pyrus typecheck and production build passed; independent review approved
PT-SIGNAL-DATA-001	fixed	high	financial-display	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/platform/signal-language/SpreadGauge.jsx; artifacts/pyrus/src/components/platform/signal-language/SpreadGauge.test.mjs; artifacts/pyrus/src/components/platform/signal-language/tooltips.js; artifacts/pyrus/src/components/platform/signal-language/tooltips.test.mjs	Missing or crossed quote inputs rendered confident spread values and missing signal metrics rendered as zero	Number(null) and Number of an empty string yielded zero; the spread resolver clamped a negative crossed spread to zero; a live one-sided quote could display a missing bid as 200 percent or a missing ask as zero	Reject null and empty numeric inputs before coercion and return unavailable for crossed quotes while preserving the existing equal-quote boundary	20c78013	Three regressions were RED before and passed after; signal-language tests passed 25/25; Pyrus typecheck and production build passed; independent review approved
PT-HEADER-001	fixed	high	accessibility-keyboard	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/platform/InteractiveColumnHeader.jsx; artifacts/pyrus/src/components/platform/InteractiveColumnHeader.test.mjs	Enter or Space on nested sort buttons in reorderable headers started keyboard dragging instead of sorting	The whole-header drag refactor stopped registering dnd-kit's activator node; KeyboardSensor only rejects bubbled descendant key events when that ref exists	Register the whole header as both sortable node and activator with the installed combined-ref hook and strip button-only drag ARIA from the columnheader	2eaf6d37	Regression was RED before and passed after; installed dnd-kit keyboard and pointer paths were independently verified; Pyrus typecheck and production build passed
PT-CRASH-003	fixed	high	privacy-diagnostics	39-pyrus-shell-components-lib	artifacts/pyrus/src/app/crashDiagnostics.tsx; artifacts/pyrus/src/app/crashDiagnostics.test.mjs	F-prefixed IBKR family-account identifiers remained visible in crash diagnostic strings	The string redactor recognized U and DU account identifiers but its D?U-only pattern left F24680 unchanged	Extend the existing account-ID redaction expression to cover F-prefixed identifiers without changing the recursive trust-boundary behavior	3a11780e	The recovered regression was RED before the fix and passed 2/2 after; Pyrus typecheck passed
PT-BUTTON-STYLE-001	fixed	low	performance-render	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/ui/Button.jsx; artifacts/pyrus/src/index.css	Each shared Button instance emitted an identical style element	The component rendered the same global class rules once per mounted button, multiplying DOM and style-recalculation work	Move the shared rules to the application stylesheet and leave only instance state in the component	9f96195b	Button regressions and the final 62-test Unit 39 suite passed; Pyrus typecheck and production build passed
PT-BUTTON-MOTION-001	fixed	medium	accessibility-motion	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/ui/Button.jsx; artifacts/pyrus/src/index.css	The loading spinner could keep animating under reduced-motion preferences	The spinner animation had no stable hook covered by the OS or application reduced-motion selectors	Give the spinner one shared class and disable its animation in both reduced-motion modes	b7bb82c5	Reduced-motion regressions, Chromium cascade probe, and final Unit 39 validation passed
PT-BUTTON-PROPS-001	fixed	medium	correctness-contract	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/ui/Button.jsx	The compatibility test-id alias could discard the standard data-testid prop	Button normalized dataTestId without preserving the native data-testid fallback	Resolve the compatibility alias while retaining the standard prop contract	57c7263d	Focused Button regression and final Unit 39 validation passed
PT-TOOLTIP-DISABLED-001	fixed	high	accessibility-keyboard-layout	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/ui/tooltip.tsx; artifacts/pyrus/src/features/charting/PyrusSignalsSettingsMenu.tsx; artifacts/pyrus/src/screens/algo/AlgoTimeframeControlBand.jsx	Disabled-control tooltips were keyboard-inaccessible and their wrappers could freeze responsive height	Disabled buttons do not receive focus; nested disabled buttons were not detected; copying a 24px inline height prevented a responsive 44px child from sizing its wrapper	Find disabled native descendants, focus the semantic wrapper, and copy placement/width without fixed height constraints	74483750,539dc3c0	Direct, wrapped, and responsive disabled-tooltip regressions passed; Pyrus typecheck/build passed
PT-NEURAL-010	fixed	low	dead-code-bundle-config	39-pyrus-shell-components-lib	artifacts/pyrus/src/lib/neural-geometry.ts; artifacts/pyrus/src/lib/neural-geometry.test.ts; artifacts/pyrus/vite.config.ts	An unused neural geometry module and stale manual-chunk rule remained	Repository caller census found no runtime importer; after deletion Vite still named its geometry sampler and matched the deleted path	Delete the source and test, then remove the stale chunk condition and comment	0219e057,539dc3c0	Caller scan stayed empty; deletion/config regression, Pyrus typecheck, and production build passed
PT-STORAGE-001	fixed	high	correctness-state	39-pyrus-shell-components-lib	artifacts/pyrus/src/lib/workspaceState.js; artifacts/pyrus/src/lib/workspaceStorage.ts; artifacts/pyrus/src/lib/workspaceStorage.test.mjs	Persisted workspace parsing accepted non-record JSON shapes	The object-type check admitted null and arrays as workspace records	Accept only non-null non-array record-shaped JSON and cover invalid shapes	a5e9c959	Workspace storage regressions and final Unit 39 validation passed
PT-FMT-001	fixed	medium	financial-display	39-pyrus-shell-components-lib	artifacts/pyrus/src/lib/formatters.js	Signed million values selected units from the signed number instead of its magnitude	A large negative value failed the positive threshold comparison used to select the M suffix	Choose the unit from absolute magnitude while preserving the sign in output	72282ea7	Signed formatter regression and final Unit 39 validation passed
PT-MOTION-001	fixed	medium	correctness-render	39-pyrus-shell-components-lib	artifacts/pyrus/src/lib/motion.jsx	Abandoned renders could consume list-motion keys	useListMotionKeys mutated its previous-key ref during render, so a Suspense-abandoned tree changed later committed animation state	Commit the previous-key snapshot in an effect after React commits	38d9867c	Real Suspense abandoned-render regression and final Unit 39 validation passed
PT-HEADING-001	fixed	medium	accessibility-structure	39-pyrus-shell-components-lib	artifacts/pyrus/src/components/ui/SectionHeader.jsx; artifacts/pyrus/src/features/auth/LoginGate.tsx	Visible screen titles were not exposed as headings	SectionHeader and the signed-out page rendered primary titles as generic text containers	Render in-screen titles as h2 and the signed-out page title as h1 without changing layout	bdce2c40	Heading regressions and final Unit 39 validation passed
